phrase_id,sent_id,sent,ground,three-scale,five-scale,vector,three-scale,five-scale
24121,1262,"... Mafia , rap stars and hood rats butt their ugly heads in a regurgitation of cinematic violence that gives brutal birth to an unlikely , but likable , hero . '",0.65278,neutral,positive,,,
103182,4879,... Myers has turned his franchise into the movie version of an adolescent dirty-joke book done up in post-Tarantino pop-culture riffs ...,0.5,neutral,neutral,,,
221770,2950,... Pray does n't have a passion for the material .,0.30556,negative,negative,,,
62548,3444,... Rogers 's mouth never stops shut about the war between the sexes and how to win the battle .,0.68056,positive,positive,,,
221771,7144,"... Stylistically , the movie is a disaster .",0.11111,negative,very negative,,,
142764,7062,"... Tara Reid plays a college journalist , but she looks like the six-time winner of the Miss Hawaiian Tropic Pageant , so I do n't know what she 's doing in here ...",0.34722,neutral,negative,,,
221773,9515,... The movie feels stitched together from stock situations and characters from other movies .,0.25,negative,negative,,,
18539,345,"... Tunney is allowed to build an uncommonly human character , an almost real-live girl complete with trouble and hope .",0.59722,neutral,neutral,,,
62550,3486,"... Wallace is smart to vary the pitch of his movie , balancing deafening battle scenes with quieter domestic scenes of women back home receiving War Department telegrams .",0.77778,positive,positive,,,
221774,11617,... Watching it was painful .,0.31944,negative,negative,,,
221775,2737,... `` Bowling for Columbine '' remains a disquieting and thought-provoking film ...,0.77778,positive,positive,,,
142766,8454,"... a big , baggy , sprawling carnival of a movie , stretching out before us with little rhyme or reason .",0.34722,neutral,negative,,,
142767,7111,"... a bland , pretentious mess .",0.22222,negative,negative,,,
3467,6173,... a bland murder-on-campus yawner .,0.013889,negative,very negative,,,
142768,7763,... a boring parade of talking heads and technical gibberish that will do little to advance the Linux cause .,0.27778,negative,negative,,,
103184,6476,"... a cheap , ludicrous attempt at serious horror .",0.11111,negative,very negative,,,
142769,6992,... a cinematic disaster so inadvertently sidesplitting it 's worth the price of admission for the ridicule factor alone .,0.31944,negative,negative,,,
103185,6616,"... a complete shambles of a movie so sloppy , so uneven , so damn unpleasant that I ca n't believe any viewer , young or old , would have a good time here .",0.027778,negative,very negative,,,
221776,11821,... a confusing drudgery .,0.22222,negative,negative,,,
24125,974,"... a cute and sometimes side-splittingly funny blend of Legally Blonde and Drop Dead Gorgeous , starring Piper Perabo in what could be her breakthrough role .",0.84722,positive,positive,,,
62551,4257,... a delicious crime drama on par with the slickest of Mamet .,0.93056,positive,positive,,,
103186,4843,"... a delightfully unpredictable , hilarious comedy with wonderful performances that tug at your heart in ways that utterly transcend gender labels .",0.875,positive,positive,,,
103187,5150,... a fairly disposable yet still entertaining B picture .,0.45833,neutral,neutral,,,
221777,10773,"... a fascinating curiosity piece -- fascinating , that is , for about ten minutes .",0.30556,negative,negative,,,
43848,1491,"... a fun little timewaster , helped especially by the cool presence of Jean Reno .",0.65278,neutral,positive,,,
103188,4627,... a funny yet dark and seedy clash of cultures and generations .,0.68056,positive,positive,,,
62552,4328,"... a gleefully grungy , hilariously wicked black comedy ...",0.86111,positive,positive,,,
43849,1479,"... a good , if not entirely fresh , look at war .",0.55556,neutral,neutral,,,
103189,5127,... a good film that must have baffled the folks in the marketing department .,0.81944,positive,positive,,,
221778,4619,"... a great , participatory spectator sport . '",0.69444,positive,positive,,,
62553,3020,... a guiltless film for nice evening out .,0.68056,positive,positive,,,
24126,999,"... a haunting vision , with images that seem more like disturbing hallucinations .",0.19444,negative,very negative,,,
181289,11422,"... a ho-hum affair , always watchable yet hardly memorable .",0.41667,neutral,neutral,,,
142770,7264,... a hokey piece of nonsense that tries too hard to be emotional .,0.16667,negative,very negative,,,
3472,7575,... a hollow joke told by a cinematic gymnast having too much fun embellishing the misanthropic tale to actually engage it .,0.26389,negative,negative,,,
24127,972,"... a joke at once flaky and resonant , lightweight and bizarrely original .",0.56944,neutral,neutral,,,
43850,2104,... a lesson in prehistoric hilarity .,0.59722,neutral,neutral,,,
221779,2671,"... a light , yet engrossing piece .",0.75,positive,positive,,,
181290,10068,"... a low rate Annie featuring some kid who ca n't act , only echoes of Jordan , and weirdo actor Crispin Glover screwing things up old school .",0.27778,negative,negative,,,
43851,1618,... a magnificent drama well worth tracking down .,0.86111,positive,positive,,,
103190,6033,... a mostly boring affair with a confusing sudden finale that 's likely to irk viewers .,0.40278,neutral,neutral,,,
181291,11590,"... a movie that , quite simply , should n't have been made .",0.11111,negative,very negative,,,
221780,7709,"... a plotline that 's as lumpy as two-day old porridge ... the filmmakers ' paws , sad to say , were all over this `` un-bear-able '' project !",0.11111,negative,very negative,,,
18540,379,... a poignant and powerful narrative that reveals that reading writing and arithmetic are not the only subjects to learn in life .,0.70833,positive,positive,,,
18541,447,... a polished and relatively sincere piece of escapism .,0.83333,positive,positive,,,
103191,4987,... a powerful sequel and one of the best films of the year .,0.86111,positive,positive,,,
181292,10540,... a preachy parable stylized with a touch of John Woo bullet ballet .,0.5,neutral,neutral,,,
103192,5745,... a pretentious and ultimately empty examination of a sick and evil woman .,0.33333,neutral,negative,,,
221781,11751,... a pretentious mess ...,0.13889,negative,very negative,,,
221781,11807,... a pretentious mess ...,0.13889,negative,very negative,,,
103194,5318,... a quietly introspective portrait of the self-esteem of employment and the shame of losing a job ...,0.65278,neutral,positive,,,
181293,11372,... a rather bland affair .,0.31944,negative,negative,,,
221782,3428,... a rich and intelligent film that uses its pulpy core conceit to probe questions of attraction and interdependence and how the heart accomodates practical needs .,0.91667,positive,positive,,,
13714,105,... a roller-coaster ride of a movie,0.81944,positive,positive,,,
62559,3222,... a series of tales told with the intricate preciseness of the best short story writing .,0.875,positive,positive,,,
103195,4977,"... a solid , unassuming drama .",0.72222,positive,positive,,,
62560,2486,"... a solid , well-formed satire .",0.83333,positive,positive,,,
62561,4347,"... a somber film , almost completely unrelieved by any comedy beyond the wistful everyday ironies of the working poor .",0.47222,neutral,neutral,,,
221789,896,... a sour little movie at its core ; an exploration of the emptiness that underlay the relentless gaiety of the 1920 's ... The film 's ending has a `` What was it all for ? '',0.16667,negative,very negative,,,
221790,1241,"... a spoof comedy that carries its share of laughs -- sometimes a chuckle , sometimes a guffaw and , to my great pleasure , the occasional belly laugh .",0.86111,positive,positive,,,
62562,2747,"... a story , an old and scary one , about the monsters we make , and the vengeance they take .",0.5,neutral,neutral,,,
24130,1257,"... a story we have n't seen on the big screen before , and it 's a story that we as Americans , and human beings , should know .",0.76389,positive,positive,,,
103196,5659,"... a sweetly affecting story about four sisters who are coping , in one way or another , with life 's endgame .",0.65278,neutral,positive,,,
62563,3149,... a thoughtful what-if for the heart as well as the mind .,0.80556,positive,positive,,,
43852,1951,... a trashy little bit of fluff stuffed with enjoyable performances and a bewildering sense of self-importance,0.41667,neutral,neutral,,,
43853,1855,... a triumph of emotionally and narratively complex filmmaking .,0.84722,positive,positive,,,
221791,11636,... a true delight .,0.91667,positive,positive,,,
62564,3071,"... a visually seductive , unrepentantly trashy take on Rice 's second installment of her Vampire Chronicles .",0.59722,neutral,neutral,,,
62565,3326,"... a vivid , thoughtful , unapologetically raw coming-of-age tale full of sex , drugs and rock 'n' roll .",0.875,positive,positive,,,
24131,567,"... a weak , manipulative , pencil-thin story that is miraculously able to entertain anyway .",0.33333,neutral,negative,,,
103197,6215,... a weak and ineffective ghost story without a conclusion or pay off .,0.16667,negative,very negative,,,
24132,1104,... a well-observed and disturbing little movie,0.43056,neutral,neutral,,,
181295,10693,... about as exciting to watch as two last-place basketball teams playing one another on the final day of the season .,0.13889,negative,very negative,,,
221793,7593,... although this idea is `` new '' the results are tired .,0.23611,negative,negative,,,
18542,349,... always remains movingly genuine .,0.94444,positive,positive,,,
24133,634,"... ambition is in short supply in the cinema , and Egoyan tackles his themes and explores his characters ' crises with seriousness and compassion .",0.63889,neutral,positive,,,
103200,5532,... an adorably whimsical comedy that deserves more than a passing twinkle .,0.76389,positive,positive,,,
24134,798,... an agreeable time-wasting device -- but George Pal 's low-tech 1960 version still rules the epochs .,0.40278,neutral,neutral,,,
142774,6770,"... an airless , prepackaged Julia Roberts wannabe that stinks so badly of hard-sell image-mongering you 'll wonder if Lopez 's publicist should share screenwriting credit .",0.125,negative,very negative,,,
62567,2355,"... an eerily suspenseful , deeply absorbing piece that works as a treatise on spirituality as well as a solid sci-fi thriller .",0.83333,positive,positive,,,
62568,4160,... an enjoyably frothy ` date movie ' ...,0.83333,positive,positive,,,
142775,6893,"... an hour-and-a-half of inoffensive , unmemorable filler .",0.16667,negative,very negative,,,
181296,9676,"... an incredibly heavy-handed , manipulative dud that feels all too familiar .",0.11111,negative,very negative,,,
62569,3964,... an interesting slice of history .,0.72222,positive,positive,,,
24135,823,... an inviting piece of film .,0.81944,positive,positive,,,
24136,1137,"... an otherwise intense , twist-and-turn thriller that certainly should n't hurt talented young Gaghan 's resume .",0.625,neutral,positive,,,
142776,8218,"... an unimaginative , nasty , glibly cynical piece of work .",0.26389,negative,negative,,,
181298,9643,... another example of how Sandler is losing his touch .,0.20833,negative,negative,,,
24142,479,... as the story congeals you feel the pieces of the Star Wars saga falling into place in a way that makes your spine tingle with revelation and excitement .,0.84722,positive,positive,,,
43855,2168,... begins on a high note and sustains it beautifully .,0.77778,positive,positive,,,
43856,1824,"... begins with promise , but runs aground after being snared in its own tangled plot .",0.30556,negative,negative,,,
43857,1803,"... best seen as speculative history , as much an exploration of the paranoid impulse as a creative sequel to the Warren Report .",0.54167,neutral,neutral,,,
181301,11283,... better described as a ghost story gone badly awry .,0.33333,neutral,negative,,,
221795,11748,... bibbidy-bobbidi-bland .,0.18056,negative,very negative,,,
24149,560,"... both hokey and super-cool , and definitely not in a hurry , so sit back , relax and have a few laughs while the little ones get a fuzzy treat . '",0.79167,positive,positive,,,
221796,559,... breathes surprising new life into the familiar by amalgamating genres and adding true human complexity to its not-so-stock characters . ',0.69444,positive,positive,,,
103203,4923,"... bright , intelligent , and humanly funny film .",0.84722,positive,positive,,,
181302,10318,... built on the premise that middle-class Arkansas consists of monster truck-loving good ol' boys and peroxide blond honeys whose worldly knowledge comes from TV reruns and supermarket tabloids .,0.375,neutral,negative,,,
103205,4672,"... by the time it 's done with us , Mira Nair 's new movie has its audience giddy with the delight of discovery , of having been immersed in a foreign culture only to find that human nature is pretty much the same all over .",0.80556,positive,positive,,,
221797,5398,"... certainly an entertaining ride , despite many talky , slow scenes .",0.65278,neutral,positive,,,
181304,9983,... comes alive only when it switches gears to the sentimental .,0.34722,neutral,negative,,,
103207,6274,... contains very few laughs and even less surprises .,0.27778,negative,negative,,,
103209,4652,... could easily be called the best Korean film of 2002 .,0.95833,positive,positive,,,
43859,1827,"... creates a visceral sense of its characters ' lives and conflicted emotions that carries it far above ... what could have been a melodramatic , Lifetime Channel-style anthology .",0.43056,neutral,neutral,,,
142780,7279,... del Toro maintains a dark mood that makes the film seem like something to endure instead of enjoy .,0.31944,negative,negative,,,
103211,6680,... delivers few moments of inspiration amid the bland animation and simplistic story .,0.40278,neutral,neutral,,,
103212,4905,... digs beyond the usual portrayals of good kids and bad seeds to reveal a more ambivalent set of characters and motivations .,0.66667,positive,positive,,,
24155,981,"... does such a fine job of engulfing you in its world and allying you with its characters ' choices , good and ill , that its shortcomings are remembered only as an afterthought .",0.59722,neutral,neutral,,,
103214,4884,... either you 're willing to go with this claustrophobic concept or you 're not .,0.43056,neutral,neutral,,,
62575,3924,"... enthusiastically invokes the percussion rhythm , the brass soul and the sense of fierce competition that helps make great marching bands half the fun of college football games .",0.77778,positive,positive,,,
103216,5023,"... even if you 've never heard of Chaplin , you 'll still be glued to the screen .",0.94444,positive,positive,,,
181305,9607,"... expands the horizons of boredom to the point of collapse , turning into a black hole of dullness , from which no interesting concept can escape .",0.38889,neutral,negative,,,
142781,8119,... fifty minutes of tedious adolescent melodramatics followed by thirty-five minutes of inflated nonsense .,0.22222,negative,negative,,,
62576,3056,"... flat-out amusing , sometimes endearing and often fabulous , with a solid cast , noteworthy characters , delicious dialogue and a wide supply of effective sight gags .",0.73611,positive,positive,,,
181308,11331,"... for all its social and political potential , State Property does n't end up being very inspiring or insightful .",0.22222,negative,negative,,,
62577,3987,... fuses the events of her life with the imagery in her paintings so vividly that the artist 's work may take on a striking new significance for anyone who sees the film .,0.84722,positive,positive,,,
142782,7184,"... generically , forgettably pleasant from start to finish .",0.59722,neutral,neutral,,,
142783,6952,"... grows decidedly flimsier with its many out-sized , out of character and logically porous action set pieces .",0.16667,negative,very negative,,,
221800,9063,"... has about 3\/4th the fun of its spry 2001 predecessor -- but it 's a rushed , slapdash , sequel-for-the-sake - of-a-sequel with less than half the plot and ingenuity .",0.16667,negative,very negative,,,
221801,450,... has freaky scenes where the crew wonder if they 're ghosts imagining themselves as alive .,0.44444,neutral,neutral,,,
181310,10479,"... has its moments , but ultimately , its curmudgeon does n't quite make the cut of being placed on any list of favorites .",0.43056,neutral,neutral,,,
142784,8742,... has virtually no script at all ...,0.18056,negative,very negative,,,
221803,2426,"... hits every cliche we 've come to expect , including the assumption that `` crazy '' people are innocent , childlike and inherently funny .",0.33333,neutral,negative,,,
103219,6214,... hokey art house pretension .,0.31944,negative,negative,,,
221804,11136,... hopefully it 'll be at the dollar theatres by the time Christmas rolls around .,0.52778,neutral,neutral,,,
221805,11729,... hypnotically dull .,0.16667,negative,very negative,,,
181311,11201,"... if it had been only half-an-hour long or a TV special , the humor would have been fast and furious -- at ninety minutes , it drags .",0.27778,negative,negative,,,
18546,310,"... if you 're in a mind set for goofy comedy , the troopers will entertain with their gross outs , bawdy comedy and head games .",0.86111,positive,positive,,,
103220,5723,"... if you 're just in the mood for a fun -- but bad -- movie , you might want to catch Freaks as a matinee .",0.52778,neutral,neutral,,,
103221,6661,"... if you , like me , think an action film disguised as a war tribute is disgusting to begin with , then you 're in for a painful ride .",0.11111,negative,very negative,,,
62584,2905,"... in no way original , or even all that memorable , but as downtown Saturday matinee brain candy , it does n't disappoint .",0.66667,positive,positive,,,
181313,11461,... in the pile of useless actioners from MTV schmucks who do n't know how to tell a story for more than four minutes .,0.19444,negative,very negative,,,
221809,8034,"... instead go rent `` Shakes The Clown '' , a much funnier film with a similar theme and an equally great Robin Williams performance .",0.375,neutral,negative,,,
221810,11776,... irritating soul-searching garbage .,0.069444,negative,very negative,,,
221811,7392,... is an arthritic attempt at directing by Callie Khouri .,0.23611,negative,negative,,,
221816,2312,"... is there a deeper , more direct connection between these women , one that spans time and reveals meaning ?",0.54167,neutral,neutral,,,
103227,5005,"... it 's as comprehensible as any Dummies guide , something even non-techies can enjoy .",0.73611,positive,positive,,,
221820,7031,"... it was n't the subject matter that ultimately defeated the film ... It was the unfulfilling , incongruous , `` wait a second , did I miss something ? ''",0.13889,negative,very negative,,,
181319,9544,... its solemn pretension prevents us from sharing the awe in which it holds itself .,0.34722,neutral,negative,,,
103229,6539,... its stupidities wind up sticking in one 's mind a lot more than the cool bits .,0.51389,neutral,neutral,,,
142794,8739,"... just a big mess of a movie , full of images and events , but no tension or surprise .",0.15278,negative,very negative,,,
142795,8120,... lacks the punch and verve needed to make this genre soar .,0.45833,neutral,neutral,,,
62594,3463,"... less a story than an inexplicable nightmare , right down to the population 's shrugging acceptance to each new horror .",0.22222,negative,negative,,,
142796,6851,... little more than a well-acted television melodrama shot for the big screen .,0.48611,neutral,neutral,,,
103230,5060,... manages to deliver a fair bit of vampire fun .,0.68056,positive,positive,,,
62595,3140,... manages to fall closer in quality to Silence than to the abysmal Hannibal .,0.59722,neutral,neutral,,,
221823,9858,... may work as an addictive guilty pleasure but the material never overcomes its questionable satirical ambivalence .,0.30556,negative,negative,,,
24157,493,"... mesmerizing , an eye-opening tour of modern Beijing culture in a journey of rebellion , retreat into oblivion and return .",0.94444,positive,positive,,,
221824,11029,... most viewers will wish there had been more of the `` Queen '' and less of the `` Damned . '',0.25,negative,negative,,,
181327,9347,"... no charm , no laughs , no fun , no reason to watch .",0.11111,negative,very negative,,,
142797,7540,... nothing scary here except for some awful acting and lame special effects .,0.38889,neutral,negative,,,
43870,2188,"... once the true impact of the day unfolds , the power of this movie is undeniable .",0.84722,positive,positive,,,
142798,7200,"... one big laugh , three or four mild giggles , and a whole lot of not much else .",0.41667,neutral,neutral,,,
62596,3125,... one of the more influential works of the ` Korean New Wave ' .,0.81944,positive,positive,,,
103235,5403,... one of the most entertaining monster movies in ages ...,0.84722,positive,positive,,,
24158,771,... one of the most ingenious and entertaining thrillers I 've seen in quite a long time .,0.97222,positive,positive,,,
181328,9380,... one resurrection too many .,0.29167,negative,negative,,,
62597,3793,"... only Bond can save us from the latest eccentric , super-wealthy megalomaniac bent on world domination and destruction .",0.55556,neutral,neutral,,,
221825,11766,... overly melodramatic ...,0.19444,negative,very negative,,,
221826,10450,... passable enough for a shoot-out in the o.k. court house of life type of flick .,0.58333,neutral,neutral,,,
181330,9356,... pays tribute to heroes the way Julia Roberts hands out awards -- with phony humility barely camouflaging grotesque narcissism .,0.18056,negative,very negative,,,
142801,8633,"... perhaps the heaviest , most joyless movie ever made about giant dragons taking over the world .",0.25,negative,negative,,,
221827,9080,"... pitiful , slapdash disaster .",0.055556,negative,very negative,,,
142802,7734,... plays like somebody spliced random moments of a Chris Rock routine into what is otherwise a cliche-riddled but self-serious spy thriller .,0.30556,negative,negative,,,
62598,2463,"... plenty of warmth to go around , with music and laughter and the love of family .",0.81944,positive,positive,,,
142803,7749,"... plot holes so large and obvious a marching band might as well be stomping through them in clown clothes , playing a college football fight song on untuned instruments .",0.069444,negative,very negative,,,
221829,10220,"... post-September 11 , `` The Sum Of All Fears '' seems more tacky and reprehensible , manipulating our collective fear without bestowing the subject with the intelligence or sincerity it unequivocally deserves .",0.069444,negative,very negative,,,
221830,11690,... quite endearing .,0.73611,positive,positive,,,
103237,5113,... quite good at providing some good old fashioned spooks .,0.70833,positive,positive,,,
221831,11842,... really horrible drek .,0.11111,negative,very negative,,,
142804,7772,"... routine , harmless diversion and little else .",0.76389,positive,positive,,,
221832,11790,... salaciously simplistic .,0.44444,neutral,neutral,,,
221833,11794,... silly humbuggery ...,0.375,neutral,negative,,,
62601,3586,... spellbinding fun and deliciously exploitative .,0.91667,positive,positive,,,
221839,11761,... stale and uninspired .,0.20833,negative,negative,,,
103240,6243,... standard guns versus martial arts cliche with little new added .,0.625,neutral,positive,,,
103241,5442,"... strips Bible stores of the potential for sanctimoniousness , making them meaningful for both kids and church-wary adults .",0.625,neutral,positive,,,
142805,7158,... stumbles over every cheap trick in the book trying to make the outrage come even easier .,0.22222,negative,negative,,,
142807,8755,... surprisingly inert for a movie in which the main character travels back and forth between epochs .,0.38889,neutral,negative,,,
103242,6592,... tackling a low-budget movie in which inexperienced children play the two main characters might not be the best way to cut your teeth in the film industry .,0.51389,neutral,neutral,,,
24165,1232,... takes the beauty of baseball and melds it with a story that could touch anyone regardless of their familiarity with the sport,0.61111,neutral,positive,,,
181342,10619,"... the cast portrays their cartoon counterparts well ... but quite frankly , Scoob and Shag do n't eat enough during the film . '",0.34722,neutral,negative,,,
181343,10230,"... the efforts of its star , Kline , to lend some dignity to a dumb story are for naught .",0.29167,negative,negative,,,
62604,3758,"... the film 's considered approach to its subject matter is too calm and thoughtful for agitprop , and the thinness of its characterizations makes it a failure as straight drama . '",0.16667,negative,very negative,,,
142809,8461,"... the film falls back on the same old formula of teen sex , outrageous pranks and scenes designed to push the envelope of bad taste for laughs .",0.23611,negative,negative,,,
221841,399,... the gentle melding of drama and comedy makes `` What Time Is It There ? '',0.48611,neutral,neutral,,,
221843,3236,... the implication is Kissinger may have decided that -- when it comes to truncheoning -- it 's better to give than to receive .,0.55556,neutral,neutral,,,
62605,3802,... the kind of entertainment that parents love to have their kids see .,0.83333,positive,positive,,,
103244,6392,... the kind of movie you see because the theater has air conditioning .,0.25,negative,negative,,,
142811,8118,... the last time I saw a theater full of people constantly checking their watches was during my SATs .,0.23611,negative,negative,,,
221844,11747,... the maudlin way its story unfolds suggests a director fighting against the urge to sensationalize his material .,0.30556,negative,negative,,,
142812,7683,... the movie is just a plain old monster .,0.097222,negative,very negative,,,
221845,4322,"... the one thing this Wild film has that other Imax films do n't : chimps , lots of chimps , all blown up to the size of a house .",0.54167,neutral,neutral,,,
3480,9622,... the picture 's cleverness is ironically muted by the very people who are intended to make it shine .,0.47222,neutral,neutral,,,
103246,4675,... the plot weaves us into a complex web .,0.66667,positive,positive,,,
221847,6546,"... the same tired old gags , modernized for the extreme sports generation .",0.43056,neutral,neutral,,,
62607,4238,"... the story , like Ravel 's Bolero , builds to a crescendo that encompasses many more paths than we started with .",0.75,positive,positive,,,
181345,11412,"... the story is far-flung , illogical , and plain stupid .",0.013889,negative,very negative,,,
142814,6876,... the story simply putters along looking for astute observations and coming up blank .,0.30556,negative,negative,,,
142815,8279,... the sum of the parts equals largely a confused mediocrity .,0.19444,negative,very negative,,,
62608,2249,"... the tale of her passionate , tumultuous affair with Musset unfolds as Sand 's masculine persona , with its love of life and beauty , takes form .",0.66667,positive,positive,,,
181346,10687,... the whole thing succeeded only in making me groggy .,0.375,neutral,negative,,,
142816,7027,"... there 's a choppy , surface-effect feeling to the whole enterprise .",0.22222,negative,negative,,,
62609,2516,... there 's enough cool fun here to warm the hearts of animation enthusiasts of all ages .,0.77778,positive,positive,,,
13720,210,... there are enough moments of heartbreaking honesty to keep one glued to the screen .,0.90278,positive,positive,,,
43871,1901,... there is enough originality in ` Life ' to distance it from the pack of paint-by-number romantic comedies that so often end up on cinema screens .,0.73611,positive,positive,,,
142818,7296,... they missed the boat .,0.41667,neutral,neutral,,,
142819,7706,... think of it as American Pie On Valium .,0.56944,neutral,neutral,,,
103249,6358,... this is n't even a movie we can enjoy as mild escapism ; it is one in which fear and frustration are provoked to intolerable levels .,0.125,negative,very negative,,,
142820,8949,... this movie has a glossy coat of action movie excess while remaining heartless at its core .,0.26389,negative,negative,,,
221848,10757,"... this story gets sillier , not scarier , as it goes along ...",0.23611,negative,negative,,,
103250,6713,... too contrived to be as naturally charming as it needs to be .,0.27778,negative,negative,,,
142822,8883,... too dull to enjoy .,0.20833,negative,negative,,,
142823,8186,... too gory to be a comedy and too silly to be an effective horror film .,0.25,negative,negative,,,
103251,6225,... too sappy for its own good .,0.26389,negative,negative,,,
142824,8268,"... too slow , too boring , and occasionally annoying .",0.13889,negative,very negative,,,
142825,7643,... turns so unforgivably trite in its last 10 minutes that anyone without a fortified sweet tooth will likely go into sugar shock .,0.027778,negative,very negative,,,
221849,11813,... unbearably lame .,0.097222,negative,very negative,,,
18552,280,... understands that a generation defines its music as much as the music defines a generation .,0.55556,neutral,neutral,,,
181348,9746,"... unlikable , uninteresting , unfunny , and completely , utterly inept .",0.041667,negative,very negative,,,
103254,6098,"... unspeakably , unbearably dull , featuring reams of flatly delivered dialogue and a heroine who comes across as both shallow and dim-witted .",0.027778,negative,very negative,,,
43872,1758,"... very funny , very enjoyable ...",0.91667,positive,positive,,,
221850,8416,... watching this film nearly provoked me to take my own life .,0.055556,negative,very negative,,,
103255,6192,... what a banal bore the preachy Circuit turns out to be,0.16667,negative,very negative,,,
103256,6156,"... while certainly clever in spots , this too-long , spoofy update of Shakespeare 's Macbeth does n't sustain a high enough level of invention .",0.27778,negative,negative,,,
62613,2280,"... while each moment of this broken character study is rich in emotional texture , the journey does n't really go anywhere .",0.31944,negative,negative,,,
181350,9526,"... while the humor aspects of ` Jason X ' were far more entertaining than I had expected , everything else about the film tanks .",0.22222,negative,negative,,,
221851,7131,... will always be remembered for the 9-11 terrorist attacks .,0.5,neutral,neutral,,,
221852,11657,... wise and elegiac ...,0.875,positive,positive,,,
221853,1391,... with `` The Bourne Identity '' we return to the more traditional action genre .,0.63889,neutral,positive,,,
221854,7996,"... with the candy-like taste of it fading faster than 25-cent bubble gum , I realized this is a throwaway movie that wo n't stand the test of time .",0.027778,negative,very negative,,,
62614,2544,"... with the gifted Pearce on hand to keep things on semi-stable ground dramatically , this retooled Machine is ultimately effective enough at achieving the modest , crowd-pleasing goals it sets for itself .",0.81944,positive,positive,,,
103257,4730,... works on some levels and is certainly worth seeing at least once .,0.73611,positive,positive,,,
181351,9396,... would be a total loss if not for two supporting performances taking place at the movie 's edges .,0.48611,neutral,neutral,,,
181352,11065,... you can be forgiven for realizing that you 've spent the past 20 minutes looking at your watch and waiting for Frida to just die already .,0.055556,negative,very negative,,,
62623,3339,10 minutes into the film you 'll be white-knuckled and unable to look away .,0.94444,positive,positive,,,
62645,3391,"13 Conversations may be a bit too enigmatic and overly ambitious to be fully successful , but Sprecher and her screenwriting partner and sister , Karen Sprecher , do n't seem ever to run out of ideas .",0.40278,neutral,neutral,,,
62709,4251,"300 years of Russian history and culture compressed into an evanescent , seamless and sumptuous stream of consciousness .",0.84722,positive,positive,,,
